time,seconds_elapsed,x,y,z
1764118088926270208,0.051270246505737305,-0.9195404052734375,-0.3109130859375,-0.2611236572265625
1764118088936290304,0.06129026412963867,-0.9174041748046875,-0.312408447265625,-0.258819580078125
1764118088946310400,0.07131028175354004,-0.91741943359375,-0.3184967041015625,-0.25732421875
1764118088956330240,0.0813302993774414,-0.920806884765625,-0.3186492919921875,-0.2577056884765625
1764118088966350336,0.09135031700134277,-0.9227447509765625,-0.317535400390625,-0.25543212890625
1764118088976370432,0.10137033462524414,-0.9246978759765625,-0.3163909912109375,-0.25201416015625
1764118088986391296,0.11139130592346191,-0.921600341796875,-0.3185577392578125,-0.2498931884765625
1764118088996411392,0.12141132354736328,-0.9193115234375,-0.3228302001953125,-0.2465362548828125
1764118089006431232,0.13143134117126465,-0.9199066162109375,-0.3203277587890625,-0.2458953857421875
1764118089016451328,0.14145135879516602,-0.9198455810546875,-0.3167266845703125,-0.248504638671875
1764118089026471424,0.15147137641906738,-0.920623779296875,-0.3146514892578125,-0.2433013916015625
1764118089036491520,0.16149139404296875,-0.921539306640625,-0.31610107421875,-0.2381439208984375
1764118089046511360,0.17151141166687012,-0.9182586669921875,-0.3142852783203125,-0.237396240234375
1764118089056532480,0.1815323829650879,-0.9181671142578125,-0.318878173828125,-0.236724853515625
1764118089066551296,0.19155120849609375,-0.9171142578125,-0.32464599609375,-0.233673095703125
1764118089080342272,0.20534229278564453,-0.90863037109375,-0.3228759765625,-0.23577880859375
1764118089090362112,0.2153620719909668,-0.912689208984375,-0.3235015869140625,-0.2388153076171875
1764118089100382208,0.22538208961486816,-0.91485595703125,-0.3257904052734375,-0.2365875244140625
1764118089110402048,0.23540210723876953,-0.8962860107421875,-0.3188018798828125,-0.231842041015625
1764118089120423168,0.2454230785369873,-0.892974853515625,-0.321868896484375,-0.23394775390625
1764118089130443008,0.25544309616088867,-0.893707275390625,-0.324920654296875,-0.23553466796875
1764118089140463104,0.26546311378479004,-0.8910369873046875,-0.325714111328125,-0.236968994140625
1764118089150483200,0.2754831314086914,-0.887908935546875,-0.3302459716796875,-0.2332611083984375
1764118089160503040,0.2855031490325928,-0.89056396484375,-0.3384857177734375,-0.2289886474609375
1764118089170523136,0.29552316665649414,-0.89935302734375,-0.3397674560546875,-0.228240966796875
